user_id,product_id,rating,purchased,timestamp
U0141,P0294,4.5,0,2024-11-24
U0231,P0105,3.5,1,2024-08-26
U0335,P0009,2.0,0,2024-01-05
U0404,P0238,4.0,1,2024-11-19
U0477,P0077,3.5,0,2024-07-07
U0415,P0174,5.0,0,2024-07-05
U0372,P0208,4.5,0,2024-10-28
U0423,P0107,1.0,0,2024-03-28
U0129,P0095,3.0,0,2024-04-15
U0199,P0051,3.5,0,2024-01-19
U0410,P0144,5.0,1,2024-10-09
U0369,P0144,3.0,0,2024-11-11
U0182,P0091,4.5,1,2024-12-26
U0374,P0119,4.0,0,2024-08-24
U0022,P0288,4.5,1,2024-03-13
U0076,P0029,3.0,0,2024-12-17
U0226,P0039,2.0,0,2024-05-03
U0164,P0090,5.0,0,2024-02-26
U0078,P0043,4.0,0,2024-10-06
U0405,P0100,5.0,0,2024-08-03
U0398,P0150,3.0,0,2024-01-22
U0206,P0217,2.0,0,2024-04-05
U0417,P0148,4.0,1,2024-05-02
U0400,P0196,4.0,1,2024-08-30
U0462,P0049,3.0,0,2024-03-27
U0142,P0189,5.0,0,2024-06-17
U0310,P0098,4.5,0,2024-09-12
U0379,P0141,3.5,1,2024-10-13
U0355,P0119,5.0,1,2024-11-20
U0219,P0295,4.0,0,2024-12-08
U0096,P0272,4.0,1,2024-01-16
U0099,P0193,3.0,0,2024-02-27
U0437,P0113,5.0,0,2024-04-21
U0435,P0223,4.0,0,2024-12-29
U0204,P0149,4.5,0,2024-04-11
U0475,P0051,4.5,0,2024-03-26
U0476,P0148,3.5,1,2024-07-18
U0298,P0267,4.5,0,2024-10-25
U0077,P0093,5.0,0,2024-07-25
U0479,P0029,4.5,0,2024-01-11
U0294,P0060,3.0,0,2024-08-17
U0369,P0009,5.0,0,2024-11-23
U0443,P0296,5.0,0,2024-06-02
U0358,P0258,3.0,0,2024-02-20
U0117,P0170,3.5,0,2024-04-27
U0054,P0294,4.0,0,2024-10-31
U0007,P0069,4.5,0,2024-01-28
U0235,P0026,1.0,0,2024-02-23
U0029,P0112,3.0,0,2024-08-25
U0414,P0173,3.0,0,2024-03-19
U0110,P0106,5.0,0,2024-11-15
U0087,P0023,5.0,0,2024-07-28
U0497,P0024,4.0,1,2024-11-03
U0161,P0197,2.5,0,2024-01-04
U0401,P0267,3.5,1,2024-10-18
U0434,P0278,4.0,0,2024-11-29
U0377,P0068,4.0,1,2024-09-16
U0421,P0251,4.0,1,2024-02-08
U0489,P0158,5.0,0,2024-10-18
U0018,P0195,3.5,0,2024-12-11
U0087,P0020,4.5,0,2024-12-22
U0030,P0186,1.5,0,2024-08-16
U0012,P0155,3.5,1,2024-01-29
U0161,P0064,3.5,0,2024-06-20
U0438,P0053,4.0,1,2024-12-29
U0443,P0089,4.5,0,2024-07-28
U0196,P0290,4.0,1,2024-03-25
U0055,P0237,4.5,0,2024-08-11
U0220,P0274,3.0,0,2024-08-02
U0197,P0251,3.0,0,2024-10-21
U0378,P0218,3.0,0,2024-02-04
U0006,P0116,4.5,0,2024-05-26
U0067,P0147,4.0,1,2024-05-15
U0343,P0017,4.0,0,2024-11-11
U0334,P0015,3.5,0,2024-04-22
U0485,P0050,4.5,0,2024-04-19
U0200,P0259,4.5,0,2024-10-05
U0171,P0191,4.5,0,2024-01-18
U0190,P0049,5.0,1,2024-04-01
U0179,P0185,3.0,0,2024-04-20
U0137,P0147,3.5,0,2024-11-18
U0410,P0250,4.0,0,2024-04-03
U0429,P0130,4.0,1,2024-10-27
U0370,P0202,3.5,1,2024-04-23
U0111,P0250,3.5,0,2024-01-14
U0374,P0216,3.5,1,2024-02-20
U0427,P0151,2.5,0,2024-07-05
U0289,P0180,3.5,0,2024-06-25
U0037,P0289,3.5,0,2024-05-05
U0343,P0123,5.0,1,2024-06-21
U0046,P0160,3.5,0,2024-12-28
U0407,P0221,3.0,0,2024-05-25
U0343,P0115,5.0,0,2024-03-28
U0371,P0170,3.0,0,2024-05-14
U0050,P0268,5.0,0,2024-10-13
U0021,P0112,2.0,0,2024-10-27
U0058,P0070,2.5,0,2024-11-26
U0249,P0050,4.0,0,2024-12-20
U0225,P0101,3.5,0,2024-12-09
U0237,P0001,4.0,0,2024-08-13
U0221,P0211,4.0,0,2024-06-30
U0499,P0122,3.5,1,2024-02-03
U0345,P0013,3.5,0,2024-03-10
U0352,P0039,3.5,0,2024-09-30
U0444,P0236,4.5,0,2024-01-04
U0191,P0109,2.5,0,2024-10-02
U0079,P0004,5.0,0,2024-09-16
U0426,P0189,3.5,1,2024-09-12
U0009,P0028,3.5,1,2024-10-24
U0397,P0068,3.0,0,2024-03-13
U0308,P0146,4.5,0,2024-04-12
U0296,P0151,2.5,0,2024-07-15
U0223,P0163,2.5,0,2024-10-02
U0236,P0243,5.0,0,2024-04-15
U0375,P0201,5.0,1,2024-12-05
U0192,P0156,2.5,0,2024-11-13
U0144,P0015,2.0,0,2024-08-04
U0492,P0183,4.5,0,2024-01-30
U0467,P0144,2.0,0,2024-04-20
U0232,P0210,5.0,0,2024-07-09
U0173,P0155,3.5,0,2024-02-05
U0409,P0215,2.5,0,2024-12-02
U0174,P0097,5.0,1,2024-10-10
U0387,P0162,5.0,0,2024-11-23
U0179,P0224,1.5,0,2024-08-01
U0059,P0109,3.5,0,2024-07-14
U0035,P0246,3.5,1,2024-01-07
U0283,P0230,4.5,0,2024-03-03
U0484,P0074,5.0,0,2024-02-17
U0224,P0175,4.0,1,2024-09-29
U0380,P0151,4.0,0,2024-07-24
U0498,P0193,5.0,1,2024-03-19
U0387,P0206,3.5,1,2024-12-17
