user_id,age,gender,location,preferred_styles
U0001,50,Men,Hong Kong,"Minimalist,Bohemian"
U0002,36,Women,Riyadh,"Streetwear,Contemporary"
U0003,29,Women,Dubai,"Contemporary,Avant-Garde"
U0004,42,Other,Singapore,"Bohemian,Classic"
U0005,40,Women,Milan,"Bohemian,Minimalist"
U0006,44,Women,New York,"Contemporary,Streetwear"
U0007,32,Men,London,"Minimalist,Streetwear"
U0008,32,Men,Hong Kong,"Avant-Garde,Classic"
U0009,45,Other,Singapore,"Bohemian,Avant-Garde"
U0010,57,Men,Milan,Bohemian
U0011,45,Women,Riyadh,Classic
U0012,24,Women,Los Angeles,Contemporary
U0013,43,Men,Hong Kong,"Streetwear,Contemporary"
U0014,23,Men,Riyadh,Contemporary
U0015,45,Women,Milan,Classic
U0016,51,Men,Hong Kong,Classic
U0017,59,Women,Singapore,"Contemporary,Classic"
U0018,23,Women,Milan,"Contemporary,Bohemian"
U0019,42,Women,Tokyo,"Streetwear,Bohemian"
U0020,54,Women,New York,Classic
U0021,33,Women,Singapore,Bohemian
U0022,43,Women,Hong Kong,Contemporary
U0023,46,Women,Los Angeles,Bohemian
U0024,48,Men,Riyadh,"Contemporary,Minimalist"
U0025,49,Men,London,Contemporary
U0026,37,Men,Riyadh,"Minimalist,Bohemian"
U0027,36,Men,Hong Kong,Minimalist
U0028,24,Women,Riyadh,"Bohemian,Minimalist"
U0029,58,Women,New York,"Avant-Garde,Minimalist"
U0030,28,Men,Milan,Avant-Garde
U0031,42,Women,London,"Avant-Garde,Classic"
U0032,30,Men,Paris,"Minimalist,Streetwear"
U0033,39,Women,Hong Kong,"Streetwear,Contemporary"
U0034,25,Men,Dubai,Classic
U0035,46,Women,Paris,Minimalist
U0036,35,Men,Riyadh,"Contemporary,Avant-Garde"
U0037,30,Women,Hong Kong,"Bohemian,Minimalist"
U0038,47,Other,Tokyo,Avant-Garde
U0039,23,Women,Dubai,Minimalist
U0040,41,Men,London,"Classic,Bohemian"
U0041,49,Men,Los Angeles,Avant-Garde
U0042,28,Women,Tokyo,Bohemian
U0043,29,Men,Paris,Contemporary
U0044,56,Men,Milan,"Streetwear,Minimalist"
U0045,35,Women,New York,Bohemian
U0046,38,Men,Los Angeles,"Avant-Garde,Contemporary"
U0047,57,Men,Tokyo,Classic
U0048,25,Men,Milan,"Classic,Bohemian"
U0049,23,Women,Milan,"Contemporary,Minimalist"
U0050,27,Women,Hong Kong,"Streetwear,Classic"
U0051,25,Men,Tokyo,"Contemporary,Classic"
U0052,50,Men,London,"Contemporary,Streetwear"
U0053,39,Women,Riyadh,Streetwear
U0054,47,Men,Dubai,Avant-Garde
U0055,55,Women,Dubai,Minimalist
U0056,31,Women,Paris,"Contemporary,Avant-Garde"
U0057,57,Women,Paris,Bohemian
U0058,35,Women,Dubai,Streetwear
U0059,52,Men,London,Streetwear
U0060,36,Women,New York,"Minimalist,Avant-Garde"
U0061,29,Other,Singapore,"Contemporary,Classic"
U0062,35,Other,Riyadh,Avant-Garde
U0063,44,Men,New York,Bohemian
U0064,42,Women,Hong Kong,"Bohemian,Minimalist"
U0065,37,Women,Singapore,"Contemporary,Classic"
U0066,39,Men,Singapore,Minimalist
U0067,45,Men,Tokyo,Minimalist
U0068,47,Women,London,Avant-Garde
U0069,46,Men,London,Avant-Garde
U0070,50,Men,Singapore,"Contemporary,Avant-Garde"
U0071,36,Men,Tokyo,"Classic,Streetwear"
U0072,22,Men,Riyadh,"Classic,Bohemian"
U0073,46,Men,Singapore,"Streetwear,Classic"
U0074,28,Women,Los Angeles,"Contemporary,Classic"
U0075,30,Men,Paris,Contemporary
U0076,45,Men,Paris,Contemporary
U0077,22,Women,New York,Bohemian
U0078,29,Women,Hong Kong,"Contemporary,Streetwear"
U0079,45,Women,Paris,"Classic,Streetwear"
U0080,32,Men,Milan,Streetwear
U0081,38,Other,New York,Avant-Garde
U0082,29,Women,Paris,"Bohemian,Contemporary"
U0083,56,Men,Hong Kong,"Streetwear,Bohemian"
U0084,56,Women,London,"Contemporary,Avant-Garde"
U0085,54,Men,London,Streetwear
U0086,26,Men,Riyadh,"Bohemian,Avant-Garde"
U0087,49,Men,Singapore,"Minimalist,Bohemian"
U0088,28,Women,Los Angeles,Minimalist
U0089,30,Women,London,"Bohemian,Contemporary"
U0090,29,Women,Tokyo,"Avant-Garde,Bohemian"
U0091,33,Women,Paris,Streetwear
U0092,55,Men,Tokyo,Contemporary
U0093,54,Men,Hong Kong,Classic
U0094,44,Other,London,"Contemporary,Minimalist"
U0095,45,Other,Los Angeles,"Streetwear,Minimalist"
U0096,58,Men,Hong Kong,Avant-Garde
U0097,56,Men,Milan,Classic
U0098,43,Men,Milan,Streetwear
U0099,48,Men,Tokyo,"Bohemian,Streetwear"
U0100,56,Women,Singapore,"Classic,Streetwear"
U0101,22,Women,New York,"Bohemian,Avant-Garde"
U0102,56,Women,Singapore,"Contemporary,Bohemian"
U0103,58,Men,Riyadh,Minimalist
U0104,35,Men,Singapore,"Bohemian,Minimalist"
U0105,24,Women,Riyadh,Classic
U0106,22,Men,Riyadh,Bohemian
U0107,26,Men,Los Angeles,"Minimalist,Classic"
U0108,47,Women,London,"Bohemian,Avant-Garde"
U0109,35,Women,Los Angeles,Classic
U0110,48,Men,Riyadh,"Streetwear,Minimalist"
U0111,30,Women,Hong Kong,"Minimalist,Avant-Garde"
U0112,36,Men,Milan,Contemporary
U0113,36,Women,Riyadh,Streetwear
U0114,47,Men,Los Angeles,"Streetwear,Minimalist"
U0115,34,Men,Hong Kong,Bohemian
U0116,53,Men,Los Angeles,Classic
U0117,53,Men,Singapore,"Contemporary,Streetwear"
U0118,25,Women,Paris,Streetwear
U0119,51,Women,Tokyo,"Bohemian,Streetwear"
U0120,58,Women,New York,"Streetwear,Classic"
U0121,44,Men,Los Angeles,"Bohemian,Streetwear"
U0122,36,Men,New York,"Classic,Contemporary"
U0123,50,Men,Dubai,"Minimalist,Classic"
U0124,57,Women,Los Angeles,Classic
U0125,34,Women,Paris,Classic
U0126,53,Women,New York,Classic
U0127,28,Women,Riyadh,"Contemporary,Minimalist"
U0128,43,Men,Los Angeles,Contemporary
U0129,49,Women,London,Bohemian
U0130,23,Women,Tokyo,"Avant-Garde,Bohemian"
U0131,27,Men,Paris,"Avant-Garde,Minimalist"
U0132,49,Women,New York,Streetwear
U0133,49,Women,Paris,Minimalist
U0134,41,Men,Hong Kong,"Contemporary,Bohemian"
U0135,51,Women,Tokyo,"Minimalist,Classic"
U0136,32,Men,Riyadh,"Bohemian,Contemporary"
U0137,49,Men,Los Angeles,Minimalist
U0138,46,Men,Los Angeles,"Avant-Garde,Streetwear"
U0139,54,Women,Los Angeles,"Contemporary,Classic"
U0140,22,Men,Tokyo,Bohemian
U0141,48,Women,London,Avant-Garde
U0142,34,Women,Dubai,Contemporary
U0143,24,Women,Milan,"Contemporary,Avant-Garde"
U0144,27,Other,Singapore,Streetwear
U0145,29,Women,New York,"Contemporary,Classic"
U0146,48,Women,London,Bohemian
U0147,30,Men,Riyadh,Classic
U0148,58,Women,New York,"Contemporary,Minimalist"
U0149,54,Women,Los Angeles,Bohemian
U0150,45,Women,Paris,"Classic,Avant-Garde"
U0151,36,Women,Riyadh,"Minimalist,Contemporary"
U0152,53,Women,New York,"Minimalist,Contemporary"
U0153,53,Women,Los Angeles,"Bohemian,Streetwear"
U0154,45,Men,New York,"Avant-Garde,Streetwear"
U0155,33,Women,Paris,Minimalist
U0156,23,Women,Los Angeles,Minimalist
U0157,24,Men,Dubai,Contemporary
U0158,58,Women,London,"Bohemian,Minimalist"
U0159,38,Men,Hong Kong,"Contemporary,Streetwear"
U0160,23,Women,Singapore,"Classic,Streetwear"
U0161,23,Women,Tokyo,Contemporary
U0162,49,Women,Singapore,Contemporary
U0163,44,Women,Riyadh,"Contemporary,Avant-Garde"
U0164,58,Women,Singapore,"Minimalist,Avant-Garde"
U0165,53,Women,Los Angeles,"Contemporary,Streetwear"
U0166,54,Women,Dubai,Avant-Garde
U0167,22,Women,Hong Kong,"Avant-Garde,Minimalist"
U0168,40,Women,London,Classic
U0169,23,Women,London,Streetwear
U0170,47,Women,Paris,"Bohemian,Contemporary"
U0171,53,Women,Tokyo,"Bohemian,Classic"
U0172,27,Men,New York,"Streetwear,Classic"
U0173,53,Women,Dubai,"Minimalist,Classic"
U0174,25,Men,New York,"Minimalist,Streetwear"
U0175,32,Men,Hong Kong,Minimalist
U0176,38,Women,Singapore,"Avant-Garde,Bohemian"
U0177,59,Men,London,Bohemian
U0178,45,Men,Hong Kong,Streetwear
U0179,26,Women,Singapore,Avant-Garde
U0180,55,Women,London,"Classic,Streetwear"
U0181,27,Men,Singapore,"Avant-Garde,Streetwear"
U0182,43,Men,Tokyo,"Bohemian,Contemporary"
U0183,32,Women,Dubai,"Streetwear,Contemporary"
U0184,37,Women,Riyadh,"Minimalist,Streetwear"
U0185,54,Women,Hong Kong,"Bohemian,Contemporary"
U0186,30,Women,Hong Kong,Bohemian
U0187,27,Men,Milan,Contemporary
U0188,37,Women,Los Angeles,"Streetwear,Contemporary"
U0189,50,Women,Tokyo,Minimalist
U0190,24,Men,Tokyo,Bohemian
U0191,41,Women,New York,Classic
U0192,57,Women,Singapore,Minimalist
U0193,40,Men,Los Angeles,Classic
U0194,47,Men,Dubai,"Avant-Garde,Bohemian"
U0195,24,Women,Dubai,"Avant-Garde,Streetwear"
U0196,40,Women,Tokyo,"Minimalist,Streetwear"
U0197,41,Women,Dubai,"Avant-Garde,Streetwear"
U0198,53,Women,Milan,"Contemporary,Minimalist"
U0199,28,Women,Hong Kong,"Avant-Garde,Contemporary"
U0200,54,Women,Paris,"Classic,Avant-Garde"
U0201,39,Women,Riyadh,"Streetwear,Contemporary"
U0202,22,Women,New York,"Streetwear,Contemporary"
U0203,32,Women,Singapore,Streetwear
U0204,49,Women,Riyadh,Streetwear
U0205,46,Women,Singapore,"Avant-Garde,Bohemian"
U0206,44,Women,London,Bohemian
U0207,52,Women,Riyadh,Contemporary
U0208,51,Men,Paris,"Classic,Streetwear"
U0209,56,Men,Tokyo,"Bohemian,Streetwear"
U0210,28,Men,Milan,"Contemporary,Classic"
U0211,37,Men,Hong Kong,Classic
U0212,47,Women,Hong Kong,"Classic,Contemporary"
U0213,23,Women,Milan,"Avant-Garde,Classic"
U0214,22,Women,Los Angeles,Classic
U0215,33,Men,London,Contemporary
U0216,26,Men,Singapore,Classic
U0217,58,Women,Paris,Avant-Garde
U0218,53,Women,Dubai,"Minimalist,Classic"
U0219,30,Women,Riyadh,Bohemian
U0220,56,Women,London,Avant-Garde
U0221,40,Men,Riyadh,Streetwear
U0222,37,Men,Paris,"Contemporary,Avant-Garde"
